date,series_name,value
2012-01-01,ibc_br,97.31769
2012-01-01,ipca_12m,6.22
2012-01-01,selic,10.7
2012-01-01,unemployment,NA
2012-01-01,usd_brl,1.7391
2012-02-01,ibc_br,98.27976
2012-02-01,ipca_12m,5.84
2012-02-01,selic,10.4
2012-02-01,unemployment,NA
2012-02-01,usd_brl,1.7092
2012-03-01,ibc_br,98.03021
2012-03-01,ipca_12m,5.24
2012-03-01,selic,9.82
2012-03-01,unemployment,8
2012-03-01,usd_brl,1.8221
2012-04-01,ibc_br,98.40808
2012-04-01,ipca_12m,5.1
2012-04-01,selic,9.35
2012-04-01,unemployment,7.8
2012-04-01,usd_brl,1.8918
2012-05-01,ibc_br,99.62926
2012-05-01,ipca_12m,4.99
2012-05-01,selic,8.87
2012-05-01,unemployment,7.7
2012-05-01,usd_brl,2.0223
2012-06-01,ibc_br,100.33459
2012-06-01,ipca_12m,4.92
2012-06-01,selic,8.39
2012-06-01,unemployment,7.6
2012-06-01,usd_brl,2.0213
2012-07-01,ibc_br,100.51519
2012-07-01,ipca_12m,5.2
2012-07-01,selic,8.07
2012-07-01,unemployment,7.5
2012-07-01,usd_brl,2.0499
2012-08-01,ibc_br,100.83894
2012-08-01,ipca_12m,5.24
2012-08-01,selic,7.85
2012-08-01,unemployment,7.3
2012-08-01,usd_brl,2.0372
2012-09-01,ibc_br,100.43664
2012-09-01,ipca_12m,5.28
2012-09-01,selic,7.39
2012-09-01,unemployment,7.1
2012-09-01,usd_brl,2.0306
2012-10-01,ibc_br,101.26344
2012-10-01,ipca_12m,5.45
2012-10-01,selic,7.23
2012-10-01,unemployment,6.9
2012-10-01,usd_brl,2.0313
2012-11-01,ibc_br,101.11435
2012-11-01,ipca_12m,5.53
2012-11-01,selic,7.14
2012-11-01,unemployment,6.8
2012-11-01,usd_brl,2.1074
2012-12-01,ibc_br,100.69047
2012-12-01,ipca_12m,5.84
2012-12-01,selic,7.16
2012-12-01,unemployment,6.9
2012-12-01,usd_brl,2.0435
2013-01-01,ibc_br,101.32972
